id;file;venditore;luogo;importo;valuta;data;ora;tipo_spesa;note
33;scontrino_JP_33.jpg;BOOKOFF PLUS 新宿駅西口店;Tokyo, Shinjuku (uscita ovest stazione);880;JPY;2026-08-02;16:38;Negozio (libri / anime goods usati);
34;scontrino_JP_34.jpg;平禄寿司 HEIROKU SUSHI - 東京渋谷表参道店;Tokyo, Shibuya-ku Jingumae 5-8-5;7568;JPY;2026-08-02;13:58;Ristorante (sushi);
35;scontrino_JP_35.jpg;NewDays - ND宇都宮中央;Utsunomiya (Tochigi);1087;JPY;2026-07-19;20:11;Minimarket;
36;scontrino_JP_36.jpg;York Benimaru - ヨークベニマル 宇都宮テラス店;Utsunomiya (Tochigi), Utsunomiya Terrace;1626;JPY;2026-07-23;17:46;Supermercato;
37;scontrino_JP_37.jpg;Yaoko Marketplace - ヤオコー トナリエ宇都宮店;Utsunomiya (Tochigi), c.c. Tonarie;3032;JPY;2026-07-26;18:51;Supermercato;
38;scontrino_JP_38.jpg;焼肉 PREMIUM KARUBI - FC宇都宮駅東;Utsunomiya (Tochigi), Higashi-Shukugo 5-1-8;5258;JPY;2026-07-02;21:43;Ristorante (yakiniku);
39;scontrino_JP_39.jpg;海蔵 UMIZOU - JR駅西口店;Utsunomiya (Tochigi), Odori 4-1-12;5343;JPY;2026-07-01;21:47;Ristorante / izakaya;
40;scontrino_JP_40.jpg;おかしのまちおか (Okashi no Machioka) ベルモール店;Utsunomiya (Tochigi), Yoto 6-2-1 1F (Bell Mall);1095;JPY;2026-08-04;19:07;Negozio alimentari / dolciumi;
41;scontrino_JP_41.jpg;あなたのお店 (ristorante italiano - reg. T7810262141749);n.d. sullo scontrino (Giappone);3340;JPY;2026-06-26;21:40;Ristorante;coperto, carbonara, amaro
42;scontrino_JP_42.jpg;LAWSON - 宇都宮駅西口店;Utsunomiya (Tochigi), Kawamukocho 1-23;645;JPY;2026-06-21;20:35;Minimarket / convenience store;
43;scontrino_JP_43.jpg;KAWARAYA - かわらや宇都宮店;Utsunomiya (Tochigi), Ikegamicho 3-11 6F;17780;JPY;2026-07-11;22:11;Ristorante / izakaya;
44;scontrino_JP_44.jpg;健太餃子 東口店 (Kenta Gyoza);Utsunomiya (Tochigi), Higashi-Shukugo 1-9-1;1670;JPY;2026-06-28;20:34;Ristorante (gyoza);
45;scontrino_JP_45.jpg;焼肉グレート (Yakiniku Great) 駅前店;Utsunomiya (Tochigi), Ekimae-dori 1-4-6;8850;JPY;2026-06-20;22:31;Ristorante (yakiniku);subtotale 8.858, arrotondamento -8
46;scontrino_JP_46.jpg;bariSheep;Utsunomiya (Tochigi), Miya-Mirai 1-1, Utsunomiya Terrace 2F-202;3894;JPY;2026-06-15;20:55;Ristorante / bistrot;
47;scontrino_JP_47.jpg;York Benimaru - ヨークベニマル 宇都宮テラス店;Utsunomiya (Tochigi), Utsunomiya Terrace;2242;JPY;2026-06-14;17:16;Supermercato;
48;scontrino_JP_48.jpg;York Benimaru - ヨークベニマル 宇都宮テラス店;Utsunomiya (Tochigi), Utsunomiya Terrace;2242;JPY;2026-06-14;17:16;Supermercato;
49;scontrino_JP_49.jpg;日高屋 (Hidakaya) 640 宇都宮テラス;Utsunomiya (Tochigi), Utsunomiya Terrace;1780;JPY;2026-06-27;21:12;Ristorante (ramen cinese);
50;scontrino_JP_50.jpg;Di PUNTO - DiPUNTO宇都宮駅前店;Utsunomiya (Tochigi), Ekimae-dori 1-4-6;6050;JPY;2026-06-13;23:22;Ristorante / wine bar;
51;scontrino_JP_51.jpg;PIYO PIZZA;n.d.;3700;JPY;2026-06-13;14:01;Ristorante (pizzeria);solo slip carta di credito, tel. 090-7224-7014
52;scontrino_JP_52.jpg;海蔵 UMIZOU - JR駅西口店;Utsunomiya (Tochigi), Odori 4-1-12;5849;JPY;2026-06-11;21:33;Ristorante / izakaya;
53;scontrino_JP_53.jpg;LAWSON - 宇都宮駅西口店;Utsunomiya (Tochigi), Kawamukocho 1-23;1079;JPY;2026-06-08;17:51;Minimarket / convenience store;
54;scontrino_JP_54.jpg;麺屋 りんく (Menya Rinku);Utsunomiya (Tochigi), Oyamachi 1263-2;1360;JPY;2026-06-14;13:18;Ristorante (ramen);
